geo,pps_per_inhabitant_million_euros,available_hospital_beds_per_100k,real_labour_productivity_per_person_employed_2019_base_year,railway_km_per_square_km,raw_milk_on_farms,pop_density_per_square_km,net_migration_per_capita,count_of_all_crime_per_100k,percentage_individuals_regularly_using_internet,average_age_for_people_above_18,F:M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ,fertility_rate,poverty_rate,life_expectancy,gender_employment_gap_percentage
BG32,11100.0,674.11,109.7,43.0,119.0,53.1,-180.0,539.8100000000001,69.05,52.9067078033158,1.1042318609159278,5990.88,3900.0,69.8,0.2535,1.77018,0.359,74.66666666666667,8.6
BG32,11100.0,674.11,109.7,43.0,119.0,53.1,-729.0,539.8100000000001,69.05,52.9067078033158,1.1042318609159278,5990.88,3900.0,69.8,0.2535,1.77018,0.359,74.66666666666667,8.6
BG32,11100.0,674.11,109.7,43.0,119.0,53.1,-283.0,539.8100000000001,69.05,52.9067078033158,1.1042318609159278,5990.88,3900.0,69.8,0.2535,1.77018,0.359,74.66666666666667,8.6
BG33,12900.0,536.38,109.1,33.0,142.0,63.7,1327.0,763.06,64.93,51.06439041472104,1.0909684086211986,6828.11,3800.0,67.7,0.21760880440220112,1.83009,0.34700000000000003,75.03333333333333,15.5
BG33,12900.0,536.38,109.1,33.0,142.0,63.7,-646.0,763.06,64.93,51.06439041472104,1.0909684086211986,6828.11,3800.0,67.7,0.21760880440220112,1.83009,0.34700000000000003,75.03333333333333,15.5
BG33,12900.0,536.38,109.1,33.0,142.0,63.7,493.0,763.06,64.93,51.06439041472104,1.0909684086211986,6828.11,3800.0,67.7,0.21760880440220112,1.83009,0.34700000000000003,75.03333333333333,15.5
BG33,12900.0,536.38,109.1,33.0,142.0,63.7,-314.0,763.06,64.93,51.06439041472104,1.0909684086211986,6828.11,3800.0,67.7,0.21760880440220112,1.83009,0.34700000000000003,75.03333333333333,15.5
BG34,12600.0,670.17,105.0,32.0,163.0,52.5,1183.0,723.59,63.41,51.46934931098271,1.0970493582011724,7663.73,3700.0,69.8,0.20160080040020006,2.15573,0.366,74.56666666666666,10.0
BG34,12600.0,670.17,105.0,32.0,163.0,52.5,-1099.0,723.59,63.41,51.46934931098271,1.0970493582011724,7663.73,3700.0,69.8,0.20160080040020006,2.15573,0.366,74.56666666666666,10.0
BG34,12600.0,670.17,105.0,32.0,163.0,52.5,-585.0,723.59,63.41,51.46934931098271,1.0970493582011724,7663.73,3700.0,69.8,0.20160080040020006,2.15573,0.366,74.56666666666666,10.0
BG34,12600.0,670.17,105.0,32.0,163.0,52.5,-92.0,723.59,63.41,51.46934931098271,1.0970493582011724,7663.73,3700.0,69.8,0.20160080040020006,2.15573,0.366,74.56666666666666,10.0
BG4,,,,,,,,,,,,,,,,,0.287,,
BG41,27900.0,739.34,108.8,43.0,54.0,103.7,5346.0,950.81,73.71,49.67575740968337,1.1155284973006843,28664.37,8400.0,75.8,0.36950000000000005,1.53127,0.22699999999999998,76.03333333333333,5.4
BG41,27900.0,739.34,108.8,43.0,54.0,103.7,-344.0,950.81,73.71,49.67575740968337,1.1155284973006843,28664.37,8400.0,75.8,0.36950000000000005,1.53127,0.22699999999999998,76.03333333333333,5.4
BG41,27900.0,739.34,108.8,43.0,54.0,103.7,-1362.0,950.81,73.71,49.67575740968337,1.1155284973006843,28664.37,8400.0,75.8,0.36950000000000005,1.53127,0.22699999999999998,76.03333333333333,5.4
BG41,27900.0,739.34,108.8,43.0,54.0,103.7,-228.0,950.81,73.71,49.67575740968337,1.1155284973006843,28664.37,8400.0,75.8,0.36950000000000005,1.53127,0.22699999999999998,76.03333333333333,5.4
BG41,27900.0,739.34,108.8,43.0,54.0,103.7,-698.0,950.81,73.71,49.67575740968337,1.1155284973006843,28664.37,8400.0,75.8,0.36950000000000005,1.53127,0.22699999999999998,76.03333333333333,5.4
BG42,11600.0,824.74,111.1,35.0,224.0,63.7,1315.0,391.75999999999993,61.31,51.62512168146546,1.1008325102299985,10778.85,3900.0,69.5,0.21300000000000005,1.87979,0.377,75.66666666666667,8.9
BG42,11600.0,824.74,111.1,35.0,224.0,63.7,-77.0,391.75999999999993,61.31,51.62512168146546,1.1008325102299985,10778.85,3900.0,69.5,0.21300000000000005,1.87979,0.377,75.66666666666667,8.9
