"year.x","geo","regionname.x","weighted_avg_left_right","purchasing_power_standard_per_inhabitant","real_labour_productivity_per_person_employed_2019_base_year","raw_milk_on_farms","pop_density_per_square_km","net_migration_per_capita","count_of_all_crime_per_100k","average_age_for_people_above_18","F.M_ratio","disposable_income_avg","gross_income_per_capita","employment_rate","proportion_with_higher_educ","fertility_rate","poverty_rate","life_expectancy","gender_employment_gap_proportion","total_votes","total_weighted_score","log_raw_milk_on_farms","log_pop_density","log_fertility_rate","log_disposable_income","poverty_rate_squared","poverty_rate_cubed","poverty_rate_fourth"
2019,"DED2","Dresden",5.7854335404189,29600,102.1,804.71,205.6,0.00153234605800088,1988.8,53.2845104181056,1.03554302476688,30724.19,22300,79.5,0.296851574212894,1.6,0.166,81.9,0.044,698584,4041611.3044,6.69049439082608,5.32598117053051,0.476234178996372,10.3328058966665,0.027556,0.004574296,0.000759333136
2019,"DED4","Chemnitz",5.75820267220795,26800,103.1,599.74,219.9,0.000417322693640012,1435.23,54.9558340466554,1.05141023940747,27495.15,20800,78.9,0.241379310344828,1.68,0.183,80.8,0.039,608523,3503998.7647,6.3965129017198,5.39321837174276,0.524728528934982,10.2217652681648,0.033489,0.006128487,0.001121513121
2019,"DED5","Leipzig",5.15069574989083,31100,104,276.14,268.4,0.000467661110426531,3438.16,51.0591369673549,1.05055472361938,19848.79,23400,77.3,0.320339830084957,1.42,0.202,81,0.032,414507,2134999.4432,5.6209441963472,5.59251566222761,0.357674444271816,9.89589883088745,0.040804,0.008242408,0.001664966416
2019,"DEE0","Sachsen-Anhalt",5.2440080943674,26600,103.7,852.545277777778,108.7,0.00039972193435685,2368.3,53.9130031590099,1.0484961311709,40798.29,20800,75.7,0.2175,1.56,0.186,80,0.036,824734,4324911.7717,6.74823804902359,4.68868378621591,0.451075619360217,10.6163956928575,0.034596,0.006434856,0.001196883216
2019,"DEF0","Schleswig-Holstein",4.65374990867546,31100,102.4,3044.86,188.2,0.000185224259842545,2170,51.7400228562756,1.05945600233744,63162.57,28500,77.4,0.23,1.54,0.208,80.9,0.088,1205043,5607968.7512,8.02121348629338,5.23755836070247,0.438254930931155,11.0534673161737,0.043264,0.008998912,0.001871773696
2019,"DEG0","Thüringen",5.41893000574488,27000,102.5,939.87,132.4,0.00020195659457275,1426.82,53.5268033697362,1.03409509087513,40198.92,21800,77.6,0.267633816908454,1.56,0.193,80.7,0.026,892969,4838936.5083,6.8457522075404,4.88590316935167,0.451075619360217,10.6015956573375,0.037249,0.007189057,0.001387488001
2019,"DK01","Hovedstaden",4.75054782961658,50900,105.3,79,756,-0.000873302569531546,6518.45,47.2597617048608,1.06017765106438,31990.05,37000,76.8,0.4835,1.66,0.175,81.5,0.056,780968,3710025.8374,4.36957442673464,6.62805460360528,0.512823626428664,10.3731805085279,0.030625,0.005359375,0.000937890625
2019,"DK02","Sjælland",5.28170564078959,27500,103.1,152,118.3,0.00213410739327566,3960.5,51.6084372957416,1.02208941743188,13646.28,30300,73.6,0.27736131934033,1.76,0.123,80.8,0.1,360641,1904799.604,5.02394630815593,4.77330829826557,0.570979546585738,9.52122296879839,0.015129,0.001860867,0.000228886641
2019,"DK03","Syddanmark",5.40877234606448,35300,100.4,2190,102,-0.000441493624599208,3920.38,50.4566763532734,1.01043397191185,19343.56,29000,73.9,0.302848575712144,1.73,0.166,81.5,0.069,523336,2830605.2845,7.69166138901017,4.62507084769443,0.553885113226438,9.87011534349253,0.027556,0.004574296,0.000759333136
2019,"DK04","Midtjylland",5.28857288647703,36400,106.6,1853,103.7,7.31928862164284e-05,3580.29,48.7493214318765,1.00848298803529,21225.69,30700,75.3,0.357321339330335,1.75,0.163,82,0.086,587467,3106862.0479,7.52456662292487,4.64159854260164,0.56531380905006,9.96296799061216,0.026569,0.004330747,0.000705911761
