DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2020,3.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2021,3.4,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2022,3.5,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2023,3.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2012,4.1,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2013,4.0,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2014,4.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2015,4.4,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2016,4.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2017,3.4,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2018,2.7,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2019,2.9,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2020,2.7,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2021,2.8,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2022,2.0,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE23,2023,2.9,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE24,2012,4.4,
