geo,purchasing_power_standard_per_inhabitant,real_labour_productivity_per_person_employed_2019_base_year,raw_milk_on_farms,pop_density_per_square_km,net_migration_per_capita,count_of_all_crime_per_100k,average_age_for_people_above_18,F:M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ,fertility_rate,poverty_rate,life_expectancy,gender_employment_gap_proportion
DEB3,34500.0,98.3,90.92,303.2,0.00010751785793155788,1752.12,50.812902641730176,1.0465243607695587,44159.24,29900.0,74.9,0.27899999999999997,1.54,0.165,81.3,0.095
DEC0,32900.0,96.6,95.31,385.5,0.0009281821191942476,2365.96,52.18047802774782,1.0562156609289837,19353.75,25000.0,73.6,0.23449999999999996,1.45,0.21600000000000003,80.2,0.08900000000000001
DED2,29600.0,102.1,804.71,205.6,0.0015323460580008847,1988.8,53.28451041810559,1.0355430247668842,30724.19,22300.0,79.5,0.29685157421289354,1.6,0.166,81.9,0.044000000000000004
DED4,26800.0,103.1,599.74,219.9,0.00041732269364001183,1435.2299999999998,54.955834046655355,1.051410239407466,27495.15,20800.0,78.9,0.24137931034482754,1.68,0.183,80.8,0.039
DED5,31100.0,104.0,276.14,268.4,0.00046766111042653057,3438.16,51.059136967354874,1.0505547236193817,19848.79,23400.0,77.3,0.3203398300849575,1.42,0.20199999999999999,81.0,0.032
DEE0,26600.0,103.7,,108.7,0.00039972193435684956,2368.2999999999997,53.91300315900986,1.0484961311709018,40798.29,20800.0,75.7,0.2175,1.56,0.18600000000000003,80.0,0.036000000000000004
DEF0,31100.0,102.4,3044.86,188.2,0.00018522425984254467,2170.0,51.7400228562756,1.0594560023374369,63162.57,28500.0,77.4,0.23,1.54,0.20800000000000002,80.9,0.08800000000000001
DEG0,27000.0,102.5,939.87,132.4,0.00020195659457275048,1426.82,53.526803369736164,1.0340950908751283,40198.92,21800.0,77.6,0.2676338169084542,1.56,0.193,80.7,0.026000000000000002
DK01,50900.0,105.3,79.0,756.0,-0.0008733025695315464,6518.45,47.25976170486075,1.0601776510643786,31990.05,37000.0,76.8,0.48350000000000004,1.66,0.175,81.5,0.055999999999999994
DK02,27500.0,103.1,152.0,118.3,0.0021341073932756574,3960.5,51.608437295741595,1.022089417431883,13646.28,30300.0,73.6,0.27736131934032987,1.76,0.12300000000000001,80.8,0.1
DK03,35300.0,100.4,2190.0,102.0,-0.0004414936245992077,3920.38,50.456676353273444,1.0104339719118545,19343.56,29000.0,73.9,0.30284857571214396,1.73,0.166,81.5,0.069
DK04,36400.0,106.6,1853.0,103.7,7.319288621642837e-05,3580.29,48.74932143187653,1.0084829880352886,21225.69,30700.0,75.3,0.3573213393303348,1.75,0.163,82.0,0.086
DK05,32900.0,100.5,1342.0,76.4,0.00014921450432806843,3137.75,50.13921702503125,0.987395203580614,9348.32,28700.0,72.8,0.28950000000000004,1.75,0.177,81.3,0.064
EE00,25900.0,111.9,820.8,30.5,0.0024658292520671377,1037.81,49.80799576170623,1.1624589074171734,16834.04,12000.0,74.8,0.371,1.66,,79.0,0.075
EL30,28300.0,93.5,8.19,987.5,-0.0004932995971326443,2242.54,50.585131826261026,1.1435863674793143,51226.74,13400.0,57.6,0.3753123438280859,1.35,0.248,81.2,0.17800000000000002
EL41,13500.0,94.8,2.98,59.3,0.009357642625687966,290.82,49.77986076944393,0.9248369926088802,2405.71,9300.0,60.4,0.2581290645322661,1.6,0.355,82.7,0.21100000000000002
EL42,22100.0,87.5,22.15,66.1,0.003873058124736475,875.8,49.096206557293726,1.0201169024517245,5223.67,14300.0,60.5,0.20839580209895056,1.62,0.345,82.3,0.21899999999999997
EL43,17500.0,93.1,1.07,76.5,0.0010150533803006934,518.79,49.669489302048746,1.0730085801722529,7337.7,10600.0,61.8,0.24450000000000002,1.54,0.316,82.1,0.172
EL51,13900.0,98.1,104.32,42.8,0.0009928626760337593,422.85,51.21663431291266,1.0330378496624792,6363.61,9000.0,56.6,0.22300000000000003,1.3,0.35200000000000004,81.1,0.212
EL52,16100.0,95.3,312.53,101.2,-1.4048451896841951e-05,1526.82,51.28404224470698,1.1018719118206006,21504.68,10000.0,53.7,0.293,1.27,0.317,81.7,0.2
EL53,17700.0,83.4,31.93,28.8,-0.0008412382019184188,185.76,52.60519586555888,1.050690438734487,3236.64,10400.0,50.6,0.2521260630315158,1.26,0.348,82.5,0.24100000000000002
EL54,14300.0,97.5,19.56,36.8,0.0008757554634412765,267.62,53.34447935607611,1.0607533859838236,3832.52,9700.0,55.1,0.296648324162081,1.24,0.276,84.0,0.166
EL61,15700.0,97.2,107.54,51.4,0.00019564726995425908,255.49,52.396682262724305,1.069980817194454,7804.42,9200.0,54.8,0.29950000000000004,1.28,0.28,82.3,0.21600000000000003
EL62,19100.0,91.5,0.79,89.4,0.0009964687659121487,560.17,52.21730912116979,1.062790441041235,3112.25,13700.0,59.8,0.23311655827913957,1.55,0.257,81.4,0.207
EL63,14800.0,95.8,17.56,59.2,-0.0007814942856804405,1056.34,51.04053188169492,1.045047392470073,6720.76,8700.0,49.7,0.18959479739869936,1.32,0.409,81.5,0.22
EL64,18500.0,102.9,24.01,36.1,0.001321837560878603,544.1,51.93692934187799,1.0067017774279265,5811.71,9100.0,55.7,0.2191095547773887,1.12,0.295,81.8,0.308
EL65,17200.0,98.7,6.76,37.1,0.0014525932747886732,720.87,52.914823856671184,1.0165971084560603,6397.05,9700.0,61.9,0.2271135567783892,1.32,0.364,82.1,0.233
ES11,25600.0,102.5,2899.76,92.0,0.0017413226923559035,728.5400000000001,53.039277581543054,1.0987220850086938,41234.02,15000.0,63.8,0.3655,1.01814,0.243,84.0,0.07200000000000001
ES12,25000.0,100.1,581.57,96.6,0.003538041781003633,659.93,53.720482979637836,1.1176803617626614,17000.11,15100.0,59.4,0.416791604197901,0.95664,0.24600000000000002,83.2,0.066
ES13,26200.0,101.2,457.04,110.5,0.005053360115053721,956.26,51.8899385865496,1.0794925680447194,9438.23,16000.0,64.2,0.40299999999999997,1.06379,0.19399999999999998,83.9,0.11699999999999999
ES21,36500.0,101.6,186.35,303.7,0.0029219625016879682,1367.21,52.06697807838341,1.0811763984298333,45873.54,21600.0,67.3,0.48700000000000004,1.24932,0.14400000000000002,84.5,0.066
ES22,34400.0,100.3,249.42,63.1,0.010494839896629428,1024.4,50.45708152486042,1.0360267449795655,12296.2,20200.0,68.0,0.4485,1.38361,0.11699999999999999,85.0,0.09699999999999999
ES23,30200.0,99.7,24.24,62.6,0.005513233976965949,760.28,51.30279777342747,1.0444160746873017,5230.87,17500.0,68.7,0.36700000000000005,1.30172,0.152,84.2,0.081
ES24,30900.0,98.6,160.4,27.9,0.00422450033161214,789.04,51.48413594637913,1.0410257172809123,22908.79,18100.0,68.8,0.37581209395302345,1.25335,0.21100000000000002,84.4,0.127
ES30,39000.0,103.8,64.26,839.7,0.015761524720621305,1458.54,49.30682428493434,1.1196257649458654,136460.62,23800.0,69.0,0.4675,1.21957,0.19,85.8,0.08900000000000001
ES41,26800.0,100.6,936.4,25.6,0.00026780335119928894,756.21,53.44022162856849,1.0419888318282968,39084.29,15800.0,65.5,0.36931534232883556,1.12497,0.16699999999999998,84.7,0.129
ES42,22400.0,100.6,269.12,25.8,0.00031782585246514696,1053.03,50.045526914101636,1.0072923703454846,27829.19,13900.0,60.8,0.287,1.24287,0.307,83.9,0.19
ES43,20700.0,98.8,28.32,26.0,-0.0003731349814883346,674.28,50.83197400509299,1.0301061739538744,13497.34,12100.0,55.7,0.25800000000000006,1.2167,0.377,83.1,0.188
ES51,33700.0,99.9,752.85,238.1,0.008324996321556765,2314.62,49.825245150778514,1.0586452937475146,139513.94,20200.0,68.6,0.40399999999999997,1.26909,0.188,84.3,0.083
ES52,24900.0,99.9,85.3,216.2,0.004238307098259727,1441.75,50.155469123515694,1.0478253507027542,72725.17,15000.0,63.3,0.3525,1.23134,0.27,83.5,0.149
ES53,30500.0,99.8,69.95,241.2,0.013316826185763153,1832.33,47.878560254015845,1.0152716132153132,19670.86,18700.0,67.6,0.3045,1.17358,0.151,84.2,0.111
ES61,21000.0,99.0,574.92,97.4,0.0008451440537864273,1129.97,48.96283363716143,1.046974267253477,108775.41,12900.0,54.8,0.297,1.30586,0.377,82.6,0.161
ES62,23300.0,98.2,68.44,132.4,0.0070206636840580644,1423.18,48.15324938977802,1.012210925887503,20101.45,14100.0,60.9,0.29814907453726863,1.49064,0.319,82.9,0.17300000000000001
ES63,22600.0,102.9,0.0,4222.9,-0.001751148824144699,1217.75,45.89089212102357,0.9756292449061127,1210.2,14300.0,49.9,0.20950000000000002,1.48046,0.45899999999999996,81.4,0.18100000000000002
ES64,20700.0,100.9,0.0,6041.5,-0.000960948444537066,1707.43,45.02961311893011,0.9713137907224907,1084.87,13200.0,49.7,0.28600000000000003,2.0991,0.385,81.4,0.195
ES70,22900.0,98.3,52.04,299.4,0.006072400308974586,1118.57,48.27007304947674,1.0314421185337845,29512.6,14100.0,57.2,0.31549999999999995,0.96995,0.35,83.5,0.099
FI19,30000.0,102.2,683.84,23.7,0.0007675311801854408,2736.51,50.93349951644665,1.0287415266510846,22603.86,22900.0,72.8,0.40029985007496255,1.4,,82.3,0.034
FI1B,44700.0,101.3,66.34,184.7,0.007822149771637033,3962.6000000000004,47.87321958041958,1.074590072607751,32676.59,30800.0,75.3,0.49624812406203106,1.28,0.10099999999999999,82.6,0.047
FI1C,30300.0,104.4,286.61,36.6,0.000705178797726509,2887.79,51.958033489663435,1.0536597835411559,19626.36,23400.0,72.4,0.391304347826087,1.3,0.163,81.7,0.003
FI1D,28300.0,104.4,1320.42,6.3,-4.8578017354877885e-05,2626.73,51.65388402673491,1.0116259818978262,20897.87,21900.0,70.0,0.36931534232883556,1.44,0.19,81.5,0.015
FI20,35900.0,93.7,17.17,19.2,0.009567289939239316,2047.73,51.272883343103594,1.0185952159580762,565.94,28800.0,81.5,0.3255,1.57,,83.9,0.053
FR10,56700.0,104.2,42.43,1026.8,-0.0005202616336890716,5067.61,47.1397814315992,1.1069127675004191,262757.68,33200.0,68.3,0.48350000000000004,1.93,0.15185714285714286,84.6,0.073
FRB0,27000.0,102.9,437.62,65.4,-1.1969396475556454e-06,2282.81,51.8099018490012,1.0913412314587425,46751.8,21300.0,66.7,0.2988505747126437,1.88,0.13133333333333333,82.7,0.06
FRC1,27000.0,103.2,344.22,51.3,8.814416826672801e-05,2338.44,52.62324319434265,1.0946712873894737,28804.11,20500.0,67.7,0.304847576211894,1.75,0.14300000000000002,82.4,0.073
FRC2,24700.0,102.5,1298.35,72.6,-0.00021662431228098902,2011.1000000000001,50.97371867896922,1.0650743885687781,21243.3,21200.0,66.4,0.278,1.8,0.12775000000000003,82.8,0.094
FRD1,25500.0,98.8,3151.31,82.6,9.01903240222609e-05,1743.25,52.23199009022776,1.0960984766468695,25941.64,20100.0,66.2,0.26686656671664166,1.77,0.12866666666666668,82.5,0.047
FRD2,27500.0,97.8,863.2,151.2,-0.0011867282583191796,2619.64,50.21728637031645,1.1058213903884095,33045.77,21300.0,63.1,0.2725,1.88,0.1365,81.8,0.073
FRE1,26700.0,102.6,1497.88,327.4,-0.0017667492758603504,3192.4500000000003,48.8264335772232,1.1051592034772062,64598.32,19400.0,58.3,0.3095,1.86,0.1865,81.1,0.094
FRE2,24300.0,101.3,947.28,99.4,-0.0006070168892617228,2633.02,49.879364342260935,1.080712498464082,34122.78,20800.0,62.5,0.265,1.84,0.15733333333333333,81.4,0.087
FRF1,30400.0,103.7,342.16,230.6,0.0003927761007722242,1985.94,49.715366636583326,1.0770796339860664,34076.78,23500.0,68.8,0.3411705852926463,1.69,0.13099999999999998,83.3,0.048
FRF2,27400.0,103.3,649.18,51.5,-0.0007634907401149557,2673.4500000000003,50.77774476803606,1.085541327964902,22684.01,20400.0,61.6,0.259,1.79,0.1605,81.8,0.08800000000000001
FRF3,24000.0,102.3,1339.42,98.6,-0.00021008653049770415,2114.45,50.571537294814426,1.074605301238207,40360.44,20900.0,64.6,0.316,1.64,0.1505,82.0,0.08800000000000001
