"regionname.x","nuts2.x","year.x","total_votes","total_weighted_score","weighted_avg_left_right"
"Κύπρος","CY00",2019,250418,1289902.2425,5.15099650384557
"Νότιο Αιγαίο","EL42",2019,116460,571943.0925,4.91106897217929
"Πελοπόννησος","EL65",2019,246769,1231703.8903,4.99132342514659
"Στερεά Ελλάδα","EL64",2019,218844,1030320.4958,4.70801345159109
"Северен централен","BG32",2019,185864,1022851.197,5.50322384646839
"Северозападен","BG31",2019,191435,1053996.399,5.50576644291796
"Североизточен","BG33",2019,206347,1116822.6956,5.41235247229182
"Югозападен","BG41",2019,410270,2372135.0986,5.78188777780486
"Югоизточен","BG34",2019,213447,1168395.5184,5.47393741022362
"Южен централен","BG42",2019,329602,1811828.321,5.49701858908623
